FULLBARCODE,ITEMNAME,ISWEIGHT,PRICEEX1,FLDPRICEUNIT,UNITID,UNITNAME,UNITQTYX100,FPRICEEX4,FULLDESCRIPTION,PROMONUM,DESCRIPTION,STARTDATE,STARTTIME,ENDDATE,ENDTIME,ISWEIGHTEDPROMO,ADDITIONALISCOUPON,ADDITIONALGIFTCOUNT,MINPURCHASEAMOUNT,MINQTY,MINAMOUNT,MAXQTY,DISCOUNTTYPE,DISCOUNTRATE,DISCOUNTEDPRICE,DISCOUNTEDPRICEPERUNIT,CLUBID,ADDITIONALINFO,PROMOTYPE,PROMOTYPENAME,PROMOSUBTYPE,PROMOSUBTYPENAME,LASTINLIST
8850367992171,מזרח ומערב קרם קוקוס,0,2490,249,12,100 מל,100000,0,מזרח ומערב קרם קוקוס 20-22% ללא חומר משמ,,,,,,,,,,,,,,,,,,,,,,,,1
8850367992898,רוטב לסלט עם למון גר,0,1090,382,12,100 מל,28500,0,רוטב לסלט עם למון גראס 285 מל TCC (כ) ל,,,,,,,,,,,,,,,,,,,,,,,,1
8850367994021,רוטב צ'ילי מתוק ללא,0,1090,389,12,100 מל,28000,0,רוטב צ'ילי מתוק ללא סוכר 280מל TCC (כ),,,,,,,,,,,,,,,,,,,,,,,,1
8850367994779,מחית קארי  ירוקה  50,0,590,0,,יחידה,0,0,מחית קארי  ירוקה  50 גר (TCC) (כ),,,,,,,,,,,,,,,,,,,,,,,,1
8850367994786,מחית קארי אדומה 50 ג,0,590,0,,יחידה,0,0,מחית קארי אדומה 50 גר (TCC) (כ),,,,,,,,,,,,,,,,,,,,,,,,1
8850367994793,מחית קארי  צהובה 50,0,590,0,,יחידה,0,0,מחית קארי  צהובה 50 גר (TCC) (כ),,,,,,,,,,,,,,,,,,,,,,,,1
8850389111659,סאפה משקה אלוורה אננ,0,750,250,12,100 מל,30000,0,סאפה משקה אלוורה אננס 300 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8850521151215,קמח אורז דביק 400 גר,0,990,248,11,100 גרם,40000,0,קמח אורז דביק 400 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
8852633020403,מזרח ומערב יבוא פנינ,0,1190,238,11,100 גרם,50000,0,מזרח ומערב יבוא פניני טפיוקה 500 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
8853662056661,רוטב סריראצ'ה מיו 45,0,2890,635,12,100 מל,45500,0,רוטב סריראצ'ה מיו 455 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8853662056982,רוטב סריראצ'ה עם צ'י,0,2890,635,12,100 מל,45500,0,רוטב סריראצ'ה עם צ'ילי ירוק חריף 455מל,,,,,,,,,,,,,,,,,,,,,,,,1
8853662057187,רוטב סריראצ'ה עם צ'י,0,1990,812,12,100 מל,24500,0,רוטב סריראצ'ה עם צ'ילי חריף 245 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8853662060026,רוטב סריראצ'ה חריף 4,0,2890,635,12,100 מל,45500,0,רוטב סריראצ'ה חריף 455 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8858271002870,מזרח ומערב יבוא מקסצ,0,1090,436,12,100 מל,25000,0,מזרח ומערב יבוא מקסצ'אפ רוטב פאד תאי 250,,,,,,,,,,,,,,,,,,,,,,,,1
8858271002887,מזרח ומערב יבוא מקסצ,0,1090,436,12,100 מל,25000,0,מזרח ומערב יבוא מקסצ'אפ רוטב טריאקי 250מ,,,,,,,,,,,,,,,,,,,,,,,,1
8858271003020,מזרח ומערב יבוא מקסצ,0,1590,227,12,100 מל,70000,0,מזרח ומערב יבוא מקסצ'אפ רוטב סויה  700מל,,,,,,,,,,,,,,,,,,,,,,,,1
8858271003044,מז ומע יבוא מקסצ'אפ,0,1590,227,12,100 מל,70000,0,מז ומע יבוא מקסצ'אפ רוטב סויה כהה פורמול,,,,,,,,,,,,,,,,,,,,,,,,1
8858271003068,מזרח ומערב יבוא מקסצ,0,1090,436,12,100 מל,25000,0,מזרח ומערב יבוא מקסצ'אפ רוטב סויה מתוק כ,,,,,,,,,,,,,,,,,,,,,,,,1
8858271003075,מזרח ומערב יבוא מקסצ,0,1690,241,12,100 מל,70000,0,מזרח ומערב יבוא מקסצ'אפ רוטב סויה מתוק 7,,,,,,,,,,,,,,,,,,,,,,,,1
8858271003174,מזרח ומערב יבוא מקסצ,0,1590,227,12,100 מל,70000,0,מזרח ומערב יבוא מקסצ'אפ רוטב שזיפים 700מ,,,,,,,,,,,,,,,,,,,,,,,,1
8858271003921,מזרח ומערב יבוא מקסצ,0,1090,436,12,100 מל,25000,0,מזרח ומערב יבוא מקסצ'אפ רוטב קארי אדום 2,,,,,,,,,,,,,,,,,,,,,,,,1
8858271003938,מזרח ומערב יבוא מקסצ,0,1090,436,12,100 מל,25000,0,מזרח ומערב יבוא מקסצ'אפ רוטב קארי 250מל,,,,,,,,,,,,,,,,,,,,,,,,1
8858271003945,רוטב קארי צהוב 250 מ,0,1090,436,11,100 גרם,25000,0,רוטב קארי צהוב 250 מל מקסצ'אפ,,,,,,,,,,,,,,,,,,,,,,,,1
8858271004034,מזרח ומערב יבוא מקסצ,0,1590,227,12,100 מל,70000,0,מזרח ומערב יבוא מקסצ'אפ רוטב צילי חריף 7,,,,,,,,,,,,,,,,,,,,,,,,1
